RA,DEC,u,g,r,i,z,redshift,Filename
186.4303793542,6.89004999573451,19.29072,17.56456,16.78211,16.36568,16.09331,0.07654753,data/sdss\SDSS_galaxy00.jpg
187.661985789995,-3.23493622548474,17.69997,16.47884,16.00701,15.73655,15.52771,0.04125151,data/sdss\SDSS_galaxy01.jpg
234.735494867507,32.823726520028,19.09427,18.02415,17.42668,17.11024,16.90405,0.1262884,data/sdss\SDSS_galaxy02.jpg
150.822283599176,18.8656125875296,20.17254,18.65029,17.58645,17.09255,16.74145,0.1633165,data/sdss\SDSS_galaxy03.jpg
249.858353725745,40.6025080573627,17.52493,16.38439,15.97529,15.74936,15.5753,0.03472729,data/sdss\SDSS_galaxy04.jpg
162.004383629603,28.2463749822409,15.73829,14.0168,13.1904,12.79504,12.45537,0.02113474,data/sdss\SDSS_galaxy05.jpg
183.382414188049,37.9402825577353,18.80049,17.28141,16.44879,16.02394,15.72358,0.1236966,data/sdss\SDSS_galaxy06.jpg
159.535838808518,5.34199183906696,18.37859,16.47809,15.648,15.2487,14.92149,0.06732403,data/sdss\SDSS_galaxy07.jpg
228.350899307703,10.6425014231779,19.90219,17.78421,16.82094,16.3646,16.00323,0.1417226,data/sdss\SDSS_galaxy08.jpg
334.751237400716,-0.934701292384436,19.52518,17.94805,16.75413,16.23992,15.83462,0.1790345,data/sdss\SDSS_galaxy09.jpg
233.434376746377,30.6393834407296,17.94682,16.81348,16.36994,16.0526,15.90177,0.0654249,data/sdss\SDSS_galaxy10.jpg
212.58993924539,41.1571206380142,19.90283,18.46751,17.57705,17.13386,16.78522,0.1460574,data/sdss\SDSS_galaxy11.jpg
151.297839834033,0.835809443951982,18.69204,17.60953,17.13106,16.82388,16.64757,0.09839579,data/sdss\SDSS_galaxy12.jpg
194.177432524554,-2.87105598084681,18.97884,17.63158,16.94572,16.58534,16.38159,0.1161738,data/sdss\SDSS_galaxy13.jpg
244.640068645506,11.6164128654877,18.18863,17.08113,16.62766,16.4087,16.3047,0.03468166,data/sdss\SDSS_galaxy14.jpg
337.638173236588,13.8520426117154,19.40452,18.18828,17.57692,17.19667,17.01076,0.07265553,data/sdss\SDSS_galaxy15.jpg
254.617476497469,41.6776845368168,17.61845,16.00809,15.22427,14.801,14.49473,0.05309513,data/sdss\SDSS_galaxy16.jpg
206.974507770549,9.73174085311116,19.15668,17.73289,17.14825,16.81507,16.58811,0.06175322,data/sdss\SDSS_galaxy17.jpg
168.906828065018,23.4230670960459,17.1215,15.80328,15.13571,14.79897,14.49438,0.02346821,data/sdss\SDSS_galaxy18.jpg
240.144606889944,29.438936673449,19.0396,17.31916,16.38732,15.97314,15.59085,0.1218364,data/sdss\SDSS_galaxy19.jpg
123.432745674084,54.300231510048,18.44614,17.25612,16.74331,16.39322,16.23483,0.06981003,data/sdss\SDSS_galaxy20.jpg
216.175562514111,35.2671706081114,16.28643,14.60976,13.94963,13.58102,13.30617,0.009993513,data/sdss\SDSS_galaxy21.jpg
202.397292479607,40.7681515142614,18.38366,16.83831,16.12529,15.70081,15.42586,0.06278372,data/sdss\SDSS_galaxy22.jpg
156.261386942274,2.85250345056709,19.54824,18.16703,17.65747,17.28473,17.1116,0.07066584,data/sdss\SDSS_galaxy23.jpg
170.17436006599,31.2082204273199,18.42883,17.08342,16.55098,16.24927,16.05866,0.04401929,data/sdss\SDSS_galaxy24.jpg
188.734747878837,33.8015175556041,19.25937,17.20994,16.2968,15.87526,15.53738,0.07482219,data/sdss\SDSS_galaxy25.jpg
120.49371369572,15.0587514245827,16.27122,14.83987,14.16838,13.80439,13.50835,0.01612742,data/sdss\SDSS_galaxy26.jpg
184.95020390577,2.08573761988791,19.75282,17.8723,17.01075,16.6324,16.26954,0.08232719,data/sdss\SDSS_galaxy27.jpg
31.5597197429333,-9.795412977353,19.19389,17.25901,16.42945,16.03327,15.67043,0.08556645,data/sdss\SDSS_galaxy28.jpg
211.902055554876,40.4886661825781,18.32647,16.92126,16.33051,16.015,15.78041,0.06737613,data/sdss\SDSS_galaxy29.jpg
199.832183666421,21.6325397868539,18.52956,17.69017,17.35712,17.11308,16.90189,0.04533869,data/sdss\SDSS_galaxy30.jpg
227.053945477743,17.7543073864409,18.87357,17.55305,16.76795,16.37434,16.05207,0.1173119,data/sdss\SDSS_galaxy31.jpg
143.080237946293,31.4401778513148,19.10952,17.85319,17.03,16.59856,16.33333,0.1604936,data/sdss\SDSS_galaxy32.jpg
214.803267589641,24.7987347853297,16.11582,14.40283,13.56817,13.09748,12.8071,0.01717465,data/sdss\SDSS_galaxy33.jpg
234.941144686686,49.0862084379327,19.34157,17.62173,16.75673,16.27943,15.98223,0.1148782,data/sdss\SDSS_galaxy34.jpg
149.526593126545,45.4752540600505,18.85688,17.53526,16.85376,16.46914,16.21973,0.09991612,data/sdss\SDSS_galaxy35.jpg
163.422866432426,19.5987455743367,19.05432,17.59058,16.9069,16.51918,16.25788,0.07838868,data/sdss\SDSS_galaxy36.jpg
219.979079553456,54.1887187559215,17.63577,16.16945,15.41734,14.97557,14.63762,0.07015126,data/sdss\SDSS_galaxy37.jpg
17.5231636244334,1.04654981386337,19.35359,18.24506,17.32511,16.87955,16.61762,0.1954465,data/sdss\SDSS_galaxy38.jpg
206.958554460586,37.7502529743554,16.4585,14.83465,14.07434,13.65179,13.31856,0.01842909,data/sdss\SDSS_galaxy39.jpg
241.822024476356,23.4939581601435,18.84698,17.19201,16.26671,15.75231,15.4136,0.1064244,data/sdss\SDSS_galaxy40.jpg
244.599361263071,6.66979455272806,19.36441,18.14412,17.42978,17.06007,16.81151,0.1255961,data/sdss\SDSS_galaxy41.jpg
151.924980460947,32.2211244796754,19.89588,18.42644,17.22822,16.72237,16.36019,0.2325073,data/sdss\SDSS_galaxy42.jpg
137.298156530474,22.3922846311439,18.51137,17.24614,16.65219,16.2935,16.02664,0.07853854,data/sdss\SDSS_galaxy43.jpg
146.529852713594,32.8458457554843,17.18864,15.58098,14.8558,14.47115,14.15927,0.03695968,data/sdss\SDSS_galaxy44.jpg
224.185080604241,21.7735234738704,18.42022,17.32373,16.73736,16.34349,16.12679,0.1145096,data/sdss\SDSS_galaxy45.jpg
210.362408479303,33.065729665438,19.43611,17.82105,16.87694,16.4365,16.09717,0.1410082,data/sdss\SDSS_galaxy46.jpg
260.457217874935,27.1928745540645,18.65949,17.61568,17.05636,16.69123,16.44543,0.1035615,data/sdss\SDSS_galaxy47.jpg
208.699066428331,51.6750496735546,19.01915,17.98209,17.50488,17.19831,17.05802,0.1242061,data/sdss\SDSS_galaxy48.jpg
237.400156568585,17.2295913296453,18.15126,16.90948,16.39046,16.13307,16.01758,0.02992307,data/sdss\SDSS_galaxy49.jpg
240.990015048897,30.5618662161602,18.27401,17.11757,16.73257,16.49563,16.37527,0.03100571,data/sdss\SDSS_galaxy50.jpg
220.588658214398,3.2708409377653,17.36431,15.6295,14.79082,14.34938,14.00084,0.02418592,data/sdss\SDSS_galaxy51.jpg
151.474875201786,14.8034608595906,18.79636,16.99755,16.13971,15.72201,15.41478,0.08444134,data/sdss\SDSS_galaxy52.jpg
1.00269203384285,-11.1779791441154,17.23594,16.23985,15.95814,15.73859,15.67993,0.03831036,data/sdss\SDSS_galaxy53.jpg
162.09697210373,27.0914275199808,19.00074,17.2075,16.36339,15.97399,15.65977,0.1057089,data/sdss\SDSS_galaxy54.jpg
238.995481777015,55.507020145369,19.25468,18.24441,17.64344,17.2491,17.05554,0.1797743,data/sdss\SDSS_galaxy55.jpg
132.122711153641,50.613664748721,19.43794,18.10449,17.49324,17.14231,16.95196,0.07046045,data/sdss\SDSS_galaxy56.jpg
126.140713964919,44.3189607145544,18.51797,16.89587,16.16483,15.76673,15.56223,0.07843047,data/sdss\SDSS_galaxy57.jpg
169.011686349342,57.0229741035718,17.55878,16.50047,16.09325,15.75089,15.6079,0.07173623,data/sdss\SDSS_galaxy58.jpg
17.4237717290516,1.15448569373442,17.53114,16.06362,15.32722,14.93487,14.68624,0.05014977,data/sdss\SDSS_galaxy59.jpg
151.060615490164,29.9188231783997,18.05051,16.56528,15.71172,15.30211,14.96218,0.1139532,data/sdss\SDSS_galaxy60.jpg
200.721554085033,17.6838276338855,19.36841,17.62267,16.7522,16.34417,16.03169,0.07719846,data/sdss\SDSS_galaxy61.jpg
235.229071177057,40.6170880473373,18.37688,17.24017,16.56996,16.18785,15.97035,0.141783,data/sdss\SDSS_galaxy62.jpg
231.318297601923,-1.81877628971919,17.26726,15.49444,14.53985,14.0596,13.64271,0.02707933,data/sdss\SDSS_galaxy63.jpg
227.302032830287,36.5858619916093,18.91987,17.99723,17.75383,17.52453,17.43776,0.05565475,data/sdss\SDSS_galaxy64.jpg
135.760527356845,1.84088918375228,19.26661,17.7389,16.84994,16.40304,16.05874,0.1193745,data/sdss\SDSS_galaxy65.jpg
202.452455017509,-0.294161985324678,16.81176,15.55591,15.05046,14.77603,14.60182,0.02124054,data/sdss\SDSS_galaxy66.jpg
132.478509396219,39.019699502417,20.08914,18.462,17.40018,16.89979,16.54294,0.1907719,data/sdss\SDSS_galaxy67.jpg
215.240138444935,10.6540781289279,19.19624,17.95856,17.2381,16.82151,16.60845,0.1671486,data/sdss\SDSS_galaxy68.jpg
132.027930706629,33.909088238756,20.2961,18.80263,18.02027,17.61869,17.41629,0.1368183,data/sdss\SDSS_galaxy69.jpg
248.068453254277,37.2338820074618,17.01435,15.42107,14.60436,14.20979,13.9406,0.03118728,data/sdss\SDSS_galaxy70.jpg
204.062350186006,15.0399330560206,19.77006,18.25364,17.38541,16.95966,16.66154,0.1173641,data/sdss\SDSS_galaxy71.jpg
234.64656447337,-1.54797110197503,17.53538,15.9097,15.33333,15.0736,14.83738,0.01109704,data/sdss\SDSS_galaxy72.jpg
163.526009666693,36.9414802156157,17.93564,16.48049,15.80216,15.43377,15.1959,0.08697709,data/sdss\SDSS_galaxy73.jpg
236.583048121313,3.71308970881521,17.78595,16.42865,15.79909,15.45012,15.22179,0.042897,data/sdss\SDSS_galaxy74.jpg
200.534210689468,3.61445524397038,18.35493,16.60838,15.70894,15.27623,14.93423,0.1135106,data/sdss\SDSS_galaxy75.jpg
230.172239758334,49.1065323623223,16.58639,14.87249,14.06281,13.65475,13.33871,0.03833375,data/sdss\SDSS_galaxy76.jpg
129.676324249451,12.4042758612999,20.51434,18.88692,17.85631,17.37211,17.08288,0.1701362,data/sdss\SDSS_galaxy77.jpg
157.014906743703,10.2107010882248,19.45306,17.89945,17.19105,16.80634,16.55013,0.06593844,data/sdss\SDSS_galaxy78.jpg
247.7372973043,21.7921491393964,20.97118,20.9066,20.26221,19.91132,20.01231,0.06118788,data/sdss\SDSS_galaxy79.jpg
212.859167817874,6.43753213652336,18.95898,17.87561,17.44033,17.13494,16.98878,0.1105357,data/sdss\SDSS_galaxy80.jpg
31.5248357699932,13.2852218210048,15.96058,14.71583,14.11841,13.78524,13.48236,0.02477609,data/sdss\SDSS_galaxy81.jpg
179.130455892135,44.6009422580996,19.591,17.99087,17.16495,16.76197,16.43655,0.1142867,data/sdss\SDSS_galaxy82.jpg
202.204666337853,24.0798229051007,18.24271,16.66835,15.94852,15.57774,15.27714,0.07602675,data/sdss\SDSS_galaxy83.jpg
149.120314445652,33.8085921404731,17.95815,16.7764,16.24813,15.98155,15.77976,0.05072843,data/sdss\SDSS_galaxy84.jpg
236.336531996772,8.33448094739238,19.82484,18.24958,17.22339,16.73717,16.43871,0.1836095,data/sdss\SDSS_galaxy85.jpg
217.018799462606,47.3355984913234,19.62967,18.54964,17.90901,17.5355,17.28268,0.1323046,data/sdss\SDSS_galaxy86.jpg
203.698835589774,50.4629004069671,18.68215,17.86395,17.67468,17.41285,17.3794,0.08423424,data/sdss\SDSS_galaxy87.jpg
344.597059048295,0.267728130842163,19.45789,17.87996,16.93144,16.48697,16.17717,0.1541752,data/sdss\SDSS_galaxy88.jpg
322.650802673536,12.0405062186657,19.84229,18.25576,17.51162,17.11024,16.96316,0.1182638,data/sdss\SDSS_galaxy89.jpg
171.82617370481,17.1196703493006,19.46898,18.13844,17.46443,17.07267,16.82817,0.1347473,data/sdss\SDSS_galaxy90.jpg
207.197356559265,14.9712431123976,19.76684,18.24743,17.27999,16.80846,16.46111,0.1554172,data/sdss\SDSS_galaxy91.jpg
174.448915273608,23.650887979622,19.03642,17.57408,16.67655,16.23684,15.91462,0.1572857,data/sdss\SDSS_galaxy92.jpg
219.35034248152,34.7984596296089,19.46861,17.98089,17.08539,16.69253,16.39618,0.1851652,data/sdss\SDSS_galaxy93.jpg
180.303886585058,51.0268579045132,18.0645,16.8385,16.42987,16.16585,16.01835,0.02673383,data/sdss\SDSS_galaxy94.jpg
121.804668380058,25.6872061908915,18.44843,16.95903,16.32992,16.00272,15.79798,0.04709488,data/sdss\SDSS_galaxy95.jpg
212.300008928117,14.5646632642598,17.34632,15.74602,14.88632,14.50258,14.23163,0.05940409,data/sdss\SDSS_galaxy96.jpg
213.572868504766,-2.64822895195338,18.95004,17.61989,16.96543,16.54914,16.2919,0.1176333,data/sdss\SDSS_galaxy97.jpg
199.175103283277,31.3669639749561,17.37259,25.0676,27.49673,26.94489,25.5005,0.01917786,data/sdss\SDSS_galaxy98.jpg
168.007135775048,28.3821881121482,18.55075,17.22354,16.67603,16.39948,16.26317,0.03255328,data/sdss\SDSS_galaxy99.jpg
164.612932773065,28.5861878733,19.43852,17.92264,17.1283,16.66908,16.36026,0.1065354,data/sdss\SDSS_galaxy100.jpg
214.326463494227,8.62135117704713,17.95885,16.64017,16.02831,15.68327,15.51126,0.06515187,data/sdss\SDSS_galaxy101.jpg
197.610130340446,9.64208443323593,19.72171,18.17191,17.27641,16.86127,16.5757,0.1507796,data/sdss\SDSS_galaxy102.jpg
167.339172860264,15.3339422307415,18.9397,17.7369,17.22924,16.95082,16.75709,0.07689308,data/sdss\SDSS_galaxy103.jpg
354.123729392317,15.0164449815298,17.33365,15.84436,15.03587,14.63344,14.30736,0.05570614,data/sdss\SDSS_galaxy104.jpg
122.017214905705,29.9550535792375,17.7788,16.24976,15.59412,15.23311,14.98914,0.0797948,data/sdss\SDSS_galaxy105.jpg
160.344367255804,31.7806872687511,17.32158,15.84565,15.13568,14.74567,14.4702,0.03480254,data/sdss\SDSS_galaxy106.jpg
126.314243687625,11.0279963691896,19.10177,17.81229,17.27505,16.97513,16.76696,0.09284374,data/sdss\SDSS_galaxy107.jpg
33.3158396460737,-7.66185447792603,16.45524,14.44398,13.59212,13.15318,12.82187,0.01594187,data/sdss\SDSS_galaxy108.jpg
224.693249499426,7.67270365368834,17.78669,16.39792,15.7334,15.3449,15.09904,0.05628496,data/sdss\SDSS_galaxy109.jpg
202.412594640028,17.2855170055552,18.81577,17.59031,16.98881,16.63733,16.40439,0.08895863,data/sdss\SDSS_galaxy110.jpg
207.395219519085,45.6956363584863,19.90739,18.54922,17.71033,17.3465,17.07953,0.1656512,data/sdss\SDSS_galaxy111.jpg
353.710588017094,-1.20488903049753,16.88513,15.60274,14.98514,14.57738,14.32736,0.05739004,data/sdss\SDSS_galaxy112.jpg
162.395509840365,25.8445333249611,18.97086,17.8157,17.41859,17.13276,17.04639,0.0637246,data/sdss\SDSS_galaxy113.jpg
228.85167042325,19.8106488358761,18.61247,17.48775,16.8679,16.52136,16.2602,0.1108824,data/sdss\SDSS_galaxy114.jpg
218.852927697949,6.27583594142494,18.55436,17.23027,16.54103,16.19699,15.90055,0.11312,data/sdss\SDSS_galaxy115.jpg
145.498954608223,22.3726909087506,18.43284,17.40265,16.92064,16.57151,16.38373,0.08122914,data/sdss\SDSS_galaxy116.jpg
180.578012318382,2.19808222379791,19.51069,18.05003,16.97556,16.50763,16.19465,0.1836066,data/sdss\SDSS_galaxy117.jpg
329.256631342206,-7.1104624229775,18.27846,17.12498,16.56316,16.25522,16.14863,0.06464116,data/sdss\SDSS_galaxy118.jpg
190.283815869324,5.94834432806655,18.15926,17.3897,17.06983,16.75664,16.69707,0.130297,data/sdss\SDSS_galaxy119.jpg
219.607089668031,20.7526250016829,17.79631,16.4507,15.90203,15.62043,15.35539,0.0443742,data/sdss\SDSS_galaxy120.jpg
145.932028458007,17.436448607172,19.66348,18.22865,17.52367,17.092,16.81457,0.1222944,data/sdss\SDSS_galaxy121.jpg
233.83887770748,24.825553287631,18.84192,17.47204,16.76753,16.36491,16.07447,0.09170694,data/sdss\SDSS_galaxy122.jpg
174.460407747702,22.0125314582602,18.07026,16.43271,15.65201,15.25379,14.99505,0.0301612,data/sdss\SDSS_galaxy123.jpg
125.432178799432,34.7735149588546,18.56665,16.98465,16.12719,15.66965,15.38927,0.08200607,data/sdss\SDSS_galaxy124.jpg
162.004566158716,23.1114424524656,17.80143,16.48948,15.86995,15.52533,15.26858,0.06612949,data/sdss\SDSS_galaxy125.jpg
178.750517444818,9.47134731881102,17.89257,16.71762,16.15601,15.7844,15.54215,0.100234,data/sdss\SDSS_galaxy126.jpg
37.1073255193353,-0.976682059727628,19.32542,17.68802,16.85754,16.41713,16.13605,0.1524306,data/sdss\SDSS_galaxy127.jpg
133.03432562539,16.0708920589721,18.03251,16.80192,16.26626,15.94583,15.68071,0.02857149,data/sdss\SDSS_galaxy128.jpg
186.348807701347,8.45572681480252,18.63837,17.17697,16.44442,16.07265,15.76897,0.07515721,data/sdss\SDSS_galaxy129.jpg
191.566568203712,11.458407555318,17.78075,16.25617,15.47679,15.09742,14.81035,0.0742053,data/sdss\SDSS_galaxy130.jpg
312.243512690864,-0.0422833732138483,18.74855,17.449,16.87356,16.50096,16.26681,0.05449904,data/sdss\SDSS_galaxy131.jpg
126.865785400616,36.8237325387082,18.6984,16.71428,15.80427,15.3688,15.02802,0.08209316,data/sdss\SDSS_galaxy133.jpg
142.086955628005,48.4131419512838,19.92955,18.58801,17.77092,17.34019,17.0276,0.1139635,data/sdss\SDSS_galaxy134.jpg
112.773730743093,44.3274464524989,17.89119,16.37695,15.68003,15.29661,14.99705,0.06086057,data/sdss\SDSS_galaxy135.jpg
331.971857195916,-8.52590516179876,19.12917,17.91008,17.37802,17.02462,16.79636,0.0814466,data/sdss\SDSS_galaxy136.jpg
165.171171808457,15.6729471326131,19.07642,17.90762,17.38957,17.12657,16.95875,0.08827339,data/sdss\SDSS_galaxy137.jpg
222.157750283917,6.81459741370704,16.42959,15.37236,14.86215,14.56079,14.34657,0.03463231,data/sdss\SDSS_galaxy138.jpg
182.5354598364,39.0524065028586,16.839,15.1944,14.56787,14.19451,13.93434,0.03706755,data/sdss\SDSS_galaxy139.jpg
208.954589497274,3.517274704658,19.33766,17.94395,17.11559,16.68683,16.40965,0.1358264,data/sdss\SDSS_galaxy140.jpg
310.696295018473,-6.1122883279004,18.13857,16.35597,15.50194,15.10539,14.75327,0.06949199,data/sdss\SDSS_galaxy141.jpg
150.894352202832,36.3174368950622,17.55743,16.14414,15.62197,15.30884,15.10367,0.04477047,data/sdss\SDSS_galaxy142.jpg
157.543521894933,55.0029394154789,18.93104,17.66523,16.96628,16.57987,16.38129,0.1398654,data/sdss\SDSS_galaxy143.jpg
153.540331288731,44.9840509107138,18.9725,17.57807,16.83427,16.43564,16.1644,0.1123184,data/sdss\SDSS_galaxy144.jpg
226.397006985762,48.6050092946096,19.71295,17.88162,17.11312,16.66597,16.40101,0.07469867,data/sdss\SDSS_galaxy145.jpg
188.117212325977,34.9948087029028,19.69261,18.24198,17.49262,17.09216,16.85384,0.1508241,data/sdss\SDSS_galaxy146.jpg
223.148237639505,17.4514878199133,18.12875,16.26281,15.46786,15.06701,14.75357,0.0574665,data/sdss\SDSS_galaxy147.jpg
168.115722368301,2.81135635015084,19.66044,18.36505,17.58434,17.15304,16.84156,0.1347455,data/sdss\SDSS_galaxy148.jpg
115.341259668097,44.010463511311,17.1888,15.78179,15.11339,14.73745,14.47158,0.04531359,data/sdss\SDSS_galaxy149.jpg
